Rank,Film,Year,Nett Gross,Adjusted Nett Gross,Verdict
1,Kismet,1943,10000000,653600000,All Time Blockbuster
2,Rattan,1944,10000000,630800000,All Time Blockbuster
3,Anmol Ghadi,1946,10000000,583300000,Blockbuster
4,Barsaat,1949,11000000,568300000,Blockbuster
5,Basant,1942,8000000,535800000,Blockbuster
6,Andaz,1949,10000000,516700000,Blockbuster
7,Khazanchi,1941,7000000,486900000,Blockbuster
8,Tansen,1943,7000000,45.7500000,Blockbuster
9,Zeenat,1945,7000000,426700000,Blockbuster
10,Mahal,1949,8000000,413300000,Super Hit
11,Shaheed,1948,7500000,406900000,Super Hit
12,Khandaan,1942,6000000,401900000,Super Hit
13,Zindagi,1940,5500000,397800000,Super Hit
14,Ram Rajya,1943,6000000,392200000,Super Hit
15,Chitralekha,1941,5500000,382500000,Super Hit
16,Chandralekha,1948,7000000,379800000,Hit
17,Bhakt Surdas,1942,5500000,368400000,Super Hit
18,Bandhan,1940,5000000,361700000,Super Hit
19,Shah Jehan,1946,6000000,350000000,Super Hit
20,Sikander,1941,5000000,347800000,Hit
21,Dost,1944,5500000,346900000,Super Hit
22,Nadaan,1943,5000000,326800000,Super Hit
23,Pyar Ki Jeet,1948,6000000,315000000,Super Hit
24,Jhoola,1941,4500000,313000000,Hit
25,Dillagi,1949,6000000,310000000,Hit
26,Gaon Ki Gori,1945,5000000,304800000,Hit
27,Jawab,1942,4500000,301400000,Hit
28,Mela,1948,5500000,298400000,Hit
29,Nauker,1943,4500000,294100000,Hit
30,Achhut,1940,4000000,289300000,Hit
1,Mother India,1957,40000000,1173000000,All Time Blockbuster
2,Naya Daur,1957,22500000,697500000,Blockbuster
3,Shree 420,1955,20000000,657600000,Blockbuster
4,Aan,1952,15000000,602800000,Super Hit
5,Madhumati,1958,20000000,586400000,Blockbuster
6,Awaara,1951,12500000,542500000,Blockbuster
7,Nagin,1954,15000000,508600000,Blockbuster
8,Baiju Bawra,1952,12500000,502300000,Blockbuster
9,Azaad,1955,15000000,493200000,Super Hit
10,Pyaasa,1957,15000000,465000000,Super Hit
11,Anarkali,1953,12500000,452100000,Super Hit
12,Baazi,1951,10000000,434000000,Super Hit
13,Nastik,1954,12500000,423800000,Super Hit
14,Jhanak Jhanak Payal Baje,1955,12500000,411000000,Super Hit
15,Anari,1959,15000000,406900000,Super Hit
16,Jaal,1952,10000000,401900000,Super Hit
17,CID,1956,12500000,398900000,Super Hit
18,Albela,1951,9000000,390600000,Super Hit
19,Do Aankhen Barah Haath,1957,12500000,387500000,Super Hit
20,Paigham,1959,14000000,379800000,Super Hit
21,Chalti Ka Naam Gaadi,1958,12500000,366600000,Super Hit
22,Udan Khatola,1955,11000000,361700000,Hit
23,Samadhi,1950,7500000,353800000,Hit
24,Deedar,1951,8000000,347200000,Hit
25,Navrang,1959,12500000,339100000,Super Hit
26,Taxi Driver,1954,10000000,339100000,Hit
27,Babul,1950,7000000,330200000,Hit
28,Jadoo,1951,7500000,325500000,Hit
29,Daag,1952,8000000,321500000,Hit
30,Ek Hi Raasta,1956,10000000,319100000,Hit
1,Mughal E Azam,1960,55000000,1326900000,All Time Blockbuster
2,Sangam,1964,40000000,885700000,Blockbuster
3,Ganga Jamuna,1961,35000000,843900000,Blockbuster
4,Mere Mehboob,1963,30000000,692600000,Blockbuster
5,Upkar,1967,35000000,690500000,Blockbuster
6,Waqt,1965,30000000,638200000,Blockbuster
7,Aradhana,1969,35000000,632900000,Blockbuster
8,Aankhen,1968,32500000,618600000,Blockbuster
9,Do Raaste,1969,32500000,587700000,Blockbuster
10,Jab Jab Phool Khile,1965,27500000,585100000,Blockbuster
11,Phool Aur Patthar,1966,27500000,563000000,Blockbuster
12,Ram Aur Shyam,1967,27500000,542500000,Super Hit
13,Suraj,1966,25000000,511800000,Super Hit
14,Ayee Milan Ki Bela,1964,22500000,498200000,Super Hit
15,Farz,1967,25000000,493200000,Super Hit
16,Himalay Ki God Mein,1965,22500000,478700000,Super Hit
17,Mera Saaya,1966,22500000,460600000,Super Hit
18,Ek Phool Do Mali,1969,25000000,452100000,Super Hit
19,Hamraaz,1967,22500000,443900000,Super Hit
20,Dosti,1964,20000000,442900000,Super Hit
21,Barsaat Ki Raat,1960,17500000,441600000,Super Hit
22,Arzoo,1965,20000000,425500000,Super Hit
23,Junglee,1961,17500000,421900000,Super Hit
24,Teesri Manzil,1966,19000000,409500000,Hit
25,Taj Mahal,1963,17500000,404000000,Super Hit
26,Shagird,1967,20000000,394500000,Super Hit
27,Ziddi,1964,17500000,387500000,Super Hit
28,Guide,1965,17500000,383300000,Hit
29,Do Kaliyan,1968,20000000,380700000,Super Hit
30,Kohinoor,1960,15000000,378500000,Hit
31,Prince,1969,20000000,361700000,Hit
32,Love In Tokyo,1966,17500000,358200000,Hit
33,Bees Saal Baad,1962,15000000,353800000,Super Hit
34,Phir Wohi Dil Laya Hoon,1963,15000000,346300000,Super Hit
35,Jewel Thief,1967,17500000,345200000,Hit
36,Neel Kamal,1968,18000000,333100000,Hit
37,Rajkumar,1964,15000000,332100000,Hit
38,Inteqaam,1969,18000000,325500000,Hit
39,Jaanwar,1965,15000000,319100000,Hit
40,Milan,1967,16000000,315600000,Hit
41,Chaudvin Ka Chand,1960,12500000,315400000,Hit
42,Do Badan,1966,15000000,307100000,Hit
43,Kanyadaan,1968,16000000,304600000,Hit
44,Gharana,1961,12500000,301300000,Hit
45,Khandaan,1965,14000000,297900000,Hit
46,An Evening In Paris,1967,15000000,295900000,Hit
47,Ek Musafir Ek Haseena,1962,12500000,294800000,Hit
48,Jeene Ki Raah,1969,16000000,289300000,Hit
49,Gumrah,1963,12500000,288500000,Hit
50,Kashmir Ki Kali,1964,13000000,287700000,Hit
1,Sholay,1975,150000000,1629700000,All Time Blockbuster
2,Bobby,1973,55000000,852500000,Blockbuster
3,Muqaddar Ka Sikandar,1978,85000000,809000000,Blockbuster
4,Roti Kapada Aur Makaan,1974,52500000,769800000,Blockbuster
5,Amar Akbar Anthony,1977,72500000,742100000,Blockbuster
6,Dharam Veer,1977,67500000,690900000,Blockbuster
7,Johny Mera Naam,1970,40000000,688900000,Blockbuster
8,Jai Santoshi Maa,1975,50000000,678100000,All Time Blockbuster
9,Sanyasi,1975,45000000,610300000,Blockbuster
10,Dus Numbri,1976,45000000,581300000,Blockbuster
11,Deewaar,1975,42500000,576400000,Super Hit
12,Haathi Mera Saathi,1971,35000000,575400000,Blockbuster
13,Laila Majnu,1976,42500000,549000000,Blockbuster
14,Jugnu,1973,35000000,542500000,Super Hit
15,Trishul,1978,55000000,523500000,Super Hit
16,Seeta Aur Geeta,1972,32500000,518600000,Super Hit
17,Daag,1973,32500000,503700000,Super Hit
18,Mera Gaon Mera Desh,1971,30000000,493200000,Super Hit
19,Pakeezah,1972,30000000,478700000,Super Hit
20,Pratiggya,1975,35000000,474700000,Super Hit
21,Sachaa Jhutha,1970,27500000,473600000,Super Hit
22,Zanjeer,1973,30000000,465000000,Super Hit
23,Suhaag,1979,50000000,463700000, Hit
24,Nagin,1976,35000000,452100000,Super Hit
25,Dushman,1971,27500000,452100000,Super Hit
26,Chor Machaye Shor,1974,30000000,43.9900000,Super Hit
27,Hum Kisise Kum Nahin,1977,42500000,435000000,Super Hit
28,Aan Milo Sajna,1970,25000000,430600000,Super Hit
29,Yaadon Ki Baraat,1973,27500000,426200000,Hit
30,Jaani Dushman,1979,45000000,417400000,Super Hit
31,Raja Jani,1972,25000000,398900000,Hit
32,Hera Pheri,1976,30000000,387500000,Hit
33,Kahaani Kismat Ki,1973,25000000,387500000,Hit
34,Purab Aur Paschim,1970,22500000,387500000,Hit
35,Parvarish,1977,37500000,383800000,Hit
36,Sargam,1979,40000000,370900000,Super Hit
37,Maryada,1971,22500000,369900000,Hit
38,Dost,1974,25000000,366600000,Hit
39,Beimaan,1972,22500000,359000000,Hit
40,Chacha Bhatija,1977,35000000,358200000,Hit
41,Charas,1976,27500000,355200000,Hit
42,Gora Aur Kala,1972,22000000,351000000,Hit
43,Loafer,1973,22500000,348700000,Hit
44,Dharmatma,1975,25000000,339100000,Hit
45,Jeevan Mrityu,1970,20000000,344500000,Hit
46,Apna Desh,1972,21000000,335000000,Hit
47,Don,1978,35000000,333100000,Hit
48,Prem Nagar,1974,22500000,329900000,Hit
49,Andaz,1971,20000000,328800000,Hit
50,Kati Patang,1970,19000000,327200000,Hit
1,Kranti,1981,100000000,847700000,Blockbuster
2,Maine Pyar Kiya,1989,140000000,669200000,All Time Blockbuster
3,Ram Teri Ganga Maili,1985,95000000,625500000,All Time Blockbuster
4,Coolie,1983,90000000,610300000,Super Hit
6,Vidhaata,1982,80000000,602800000,Blockbuster
5,Naseeb,1981,72500000,593400000,Hit
6,Meri Awaaz Suno,1981,65000000,551000000,Super Hit
7,Qurbani,1980,60000000,542500000,Super Hit
8,Mard,1985,80000000,529300000,Super Hit
11,Laawaris,1981,60000000,508600000,Super Hit
12,Prem Rog,1982,65000000,489800000,Super Hit
13,Love Story,1981,57500000,488400000,Blockbuster
12,Ram Lakhan,1989,90000000,471700000,Super Hit
14,Tezaab,1988,80000000,461700000,Blockbuster
15,Betaab,1983,67500000,457700000,Super Hit
16,Karma,1986,70000000,452100000,Super Hit
17,Aasha,1980,50000000,452100000,Blockbuster
18,Namak Halaal,1982,60000000,451800000,Super Hit
19,Tridev,1989,85000000,445500000,Super Hit
20,Ram Balram,1980,47500000,429500000,Semi Hit
21,Ek Duje Ke Liye,1981,47500000,423900000,Blockbuster
22,Hero,1983,62500000,423800000,Super Hit
23,Dostana,1980,45000000,406900000,Hit
24,Shaan,1980,42500000,384300000,Below Average
25,Khud-daar,1982,50000000,376700000,Hit
26,Farz Aur Kanoon,1982,47500000,357900000,Super Hit
27,Kaatilon Ke Katil,1981,40000000,339100000,Hit
28,Nikaah,1982,45000000,339000000,Blockbuster
29,Hukumat,1987,55000000,335800000,Hit
30,Shahenshah,1988,60000000,335100000,Semi Hit
31,Himmatwala,1983,50000000,328100000,Hit
32,Geraftaar,1985,50000000,320100000,Hit
33,Satte Pe Satta,1982,42500000,320200000,Semi Hit
34,Kaalia,1981,37500000,317800000,Above Average
35,Jyoti Bane Jwala,1980,35000000,316500000,Hit
36,Andhaa Kanoon,1983,45000000,295300000,Hit
37,Tohfa,1984,45000000,291700000,Hit
38,Shakti,1982,40000000,301400000,Average
37,Yaarana,1981,35000000,296600000,Above Average
38,The Burning Train,1980,32500000,293900000,Below Average
39,Rajput,1982,37500000,282500000,Average
40,Mawaali,1983,42500000,278900000,Hit
41,Mr India,1987,45000000,274700000,Hit
43,Ali Baba Aur 40 Chor,1980,30000000,271300000,Semi Hit
44,Nagina,1986,42500000,265600000,Super Hit
45,Ghazab,1982,35000000,263700000,Semi Hit
46,Jaanidost,1983,40000000,262500000,Above Average
47,Insaaniyat Ke Dushman,1987,42500000,259400000,Hit
48,Sharaabi,1984,40000000,259300000,Hit
49,Samraat,1982,34000000,256100000,Average
50,Paap Ki Duniya,1988,45000000,251300000,Hit